1,50,442,1811,262,0,143
1,100,314,1872,242,0,211
1,150,204,2134,233,0,170
1,200,268,2099,213,0,254
1,250,313,2072,147,0,165
1,300,309,2200,54,0,261
1,350,236,2340,41,0,209
1,400,257,2278,29,0,136
1,450,426,2141,0,0,192
1,500,437,2075,0,0,217
1,550,367,2164,0,0,301
1,600,282,2251,0,0,310
1,650,306,2214,0,0,163
1,700,370,2207,0,0,342
1,750,295,2271,0,0,271
1,800,404,2149,0,0,277
1,850,417,2237,0,0,305
1,900,275,2282,0,0,192
1,950,238,2354,0,0,243
1,1000,324,2171,0,0,282
11,50,357,2093,52,0,149
11,100,288,2058,19,0,223
11,150,300,2180,19,0,234
11,200,308,2148,18,0,257
11,250,366,2153,18,0,249
11,300,378,2158,15,0,213
11,350,457,2087,8,0,206
11,400,504,1944,0,0,343
11,450,249,2320,0,0,283
11,500,401,2146,0,0,219
11,550,417,2205,0,0,203
11,600,246,2381,0,0,278
11,650,454,2175,0,0,261
11,700,368,2245,0,0,303
11,750,262,2356,0,0,251
11,800,223,2411,0,0,176
11,850,320,2267,0,0,182
11,900,372,2233,0,0,208
11,950,309,2207,0,0,277
11,1000,337,2312,0,0,203
21,50,431,1798,44,0,173
21,100,320,1915,16,0,203
21,150,274,2270,16,0,184
21,200,432,2111,16,0,240
21,250,252,2269,16,0,230
21,300,394,2163,0,0,288
21,350,230,2246,0,0,176
21,400,251,2230,0,0,163
21,450,268,2276,0,0,144
21,500,305,2198,0,0,227
21,550,371,2176,0,0,193
21,600,327,2250,0,0,277
21,650,400,2187,0,0,192
21,700,514,1993,0,0,342
21,750,292,2217,0,0,247
21,800,195,2372,0,0,197
21,850,211,2373,0,0,203
21,900,246,2373,0,0,200
21,950,261,2328,0,0,219
21,1000,242,2339,0,0,169
31,50,285,1834,255,10,141
31,100,281,2187,109,2,189
31,150,374,2084,110,2,165
31,200,312,2153,108,18,245
31,250,339,2100,103,22,264
31,300,405,2128,22,14,198
31,350,246,2337,16,0,233
31,400,324,2303,16,0,222
31,450,424,2080,15,0,221
31,500,383,2008,15,0,258
31,550,482,2106,16,0,301
31,600,382,1991,15,0,198
31,650,436,2092,0,0,225
31,700,342,2264,0,0,219
31,750,273,2294,0,0,250
31,800,263,2279,0,0,247
31,850,240,2250,0,0,175
31,900,457,2027,0,0,254
31,950,573,1910,0,0,294
31,1000,407,2165,0,0,377
41,50,540,1669,1,24,118
41,100,564,1842,0,19,227
41,150,480,1775,0,62,141
41,200,480,2096,0,84,168
41,250,373,2278,0,109,174
41,300,260,2289,0,50,182
41,350,300,2314,0,65,249
41,400,232,2218,0,19,125
41,450,131,2401,0,25,76
41,500,517,2129,0,39,196
41,550,484,1975,0,10,183
41,600,448,1862,0,15,194
41,650,345,2186,0,0,281
41,700,471,2153,0,0,199
41,750,369,2032,0,0,255
41,800,475,2118,0,0,242
41,850,402,2105,0,0,242
41,900,388,2184,0,0,242
41,950,203,2358,0,0,170
41,1000,250,2327,0,0,170
51,50,265,2144,100,33,80
51,100,320,2097,69,32,122
51,150,194,2268,38,18,136
51,200,181,2338,38,12,92
51,250,282,2263,37,22,155
51,300,304,2294,20,0,217
51,350,135,2385,13,0,147
51,400,317,2156,4,0,141
51,450,189,2351,0,0,163
51,500,294,2281,0,0,192
51,550,522,1758,0,0,153
51,600,535,1883,0,0,255
51,650,250,2360,0,0,225
51,700,276,2301,0,0,203
51,750,296,2147,0,0,242
51,800,423,2150,0,0,168
51,850,355,2237,0,0,266
51,900,536,1973,0,0,200
51,950,465,1822,0,0,300
51,1000,570,1918,0,0,191
61,50,228,1946,227,0,165
61,100,276,2114,100,0,131
61,150,236,2120,98,0,187
61,200,106,2366,94,0,133
61,250,196,2298,82,0,145
61,300,372,2018,82,0,176
61,350,312,2142,82,0,215
61,400,265,2261,82,0,244
61,450,424,2171,21,0,288
61,500,282,2270,11,0,219
61,550,160,2378,11,0,183
61,600,84,2473,11,0,113
61,650,164,2419,2,0,159
61,700,257,2327,0,0,233
61,750,522,2074,0,0,248
61,800,253,2220,0,0,192
61,850,324,2136,0,0,147
61,900,415,2176,0,0,240
61,950,451,2135,0,0,339
61,1000,388,2218,0,0,341
71,50,417,1785,154,0,168
71,100,220,2280,79,0,202
71,150,207,2291,40,0,158
71,200,244,2362,13,0,141
71,250,319,2256,13,0,186
71,300,315,2203,13,0,251
71,350,337,2171,13,0,200
71,400,292,2309,11,0,227
71,450,306,2231,0,0,210
71,500,376,2148,0,0,235
71,550,361,2184,0,0,256
71,600,214,2335,0,0,204
71,650,263,2343,0,0,227
71,700,324,2294,0,0,284
71,750,338,2186,0,0,147
71,800,371,2097,0,0,189
71,850,327,2120,0,0,224
71,900,259,2275,0,0,197
71,950,352,2103,0,0,196
71,1000,387,2147,0,0,219
1,50,379,1842,263,0,155
1,100,341,1981,242,0,232
1,150,139,2117,242,0,164
1,200,233,2068,242,0,102
1,250,207,2069,241,0,144
1,300,316,1920,237,0,208
1,350,400,1986,216,0,193
1,400,338,1986,206,0,190
1,450,314,2075,121,0,257
1,500,317,2178,96,0,198
1,550,360,2163,64,0,215
1,600,277,2221,39,0,252
1,650,286,2259,39,0,268
1,700,112,2383,39,0,111
1,750,266,2246,41,0,118
1,800,533,1950,19,0,266
1,850,255,2237,1,0,207
1,900,179,2228,0,0,134
1,950,334,2228,0,0,203
1,1000,447,2076,0,0,168
11,50,460,1934,45,0,151
11,100,432,2041,16,0,170
11,150,494,1930,16,0,199
11,200,261,2344,16,0,293
11,250,311,2275,16,0,255
11,300,281,2364,16,0,303
11,350,221,2371,18,0,163
11,400,368,2178,18,0,283
11,450,426,2098,1,0,316
11,500,352,2245,0,0,173
11,550,401,2121,0,0,210
11,600,341,2209,0,0,290
11,650,261,2201,0,0,210
