11,56,36,9
2,156,10,8
4,339,16,24
5,554,20,16
6,875,32,19
7,1224,32,32
8,1711,39,38
10,2238,45,44
12,2915,53,51
12,3522,73,44
14,4396,82,59
15,5048,94,56
17,6320,104,73
18,7269,115,79
19,8455,127,85
21,9597,139,93
23,11790,151,101
24,14202,161,111
25,11360,172,126
28,16673,191,125
28,19804,203,133
28,13056,206,137
34,27041,251,142
32,11368,286,152
33,13994,248,163
35,23773,267,175
39,35394,292,190
40,47930,324,189
40,35424,317,210
44,65887,367,206
46,69902,384,213
47,56139,438,221
47,56232,406,237
50,64653,435,248
53,111271,463,262
55,127871,486,274
56,90922,493,290
58,77714,471,290
59,169032,549,310
63,155946,567,322
61,136339,585,333
63,185629,610,358
65,220857,702,353
66,137476,636,385
70,267108,695,391
68,163761,695,417
73,157700,706,425
74,124094,700,443
78,129681,746,455
77,203540,788,471
80,252984,834,483
83,397015,941,481
84,260504,881,515
87,174707,880,529
90,474915,969,538
86,380890,1047,552
92,439285,1015,574
96,561193,1060,588
94,245165,1112,617
97,361008,1086,634
100,189434,1074,656
101,421527,1225,649
104,399929,1168,692
102,392840,1202,708
104,428942,1314,723
109,598491,1295,740
111,362107,1280,763
114,518115,1417,782
116,440215,1351,805
121,254468,1359,824

