Add to Front Test 
2,1
1,0
0,1

Unsorted Test 

Unsorted Test 

Unsorted Test 

Unsorted Test 

Unsorted Test 

Unsorted Test 

Unsorted Test 

Unsorted Test 

Unsorted Test 

Unsorted Test 

Unsorted Test 

Unsorted Test 

Unsorted Test 

Unsorted Test 

Unsorted Test 

Add to Front Test 
3,3
2,1
3,1

Add to Front Test 
2,2
1,1
1,1

Add to Front Test 
2,2
0,1
1,0

Add to Front Test 
0,0
0,1
0,0

Add to Front Test 
1,1
0,0
0,1

Add to Front Test 
1,1
1,1
1,0
2,1
1,1

Add to Front Test 
2,2
1,0
0,1
1,1
1,0

Add to Front Test 
1,0
0,1
0,2
1,1
1,5

Add to Front Test 
0,1
0,1
1,1
1,0
1,1

Add to Front Test 
0,1
0,0
1,1
0,1
0,1

Add to Front Test 
1,0
1,0
0,1
1,0
0,1

Add to Front Test 
2,2
1,1
1,2
1,1
1,1

Add to Front Test 
2,2
1,1
1,1
1,1
1,1

Add to Front Test 
2,1
1,1
1,1
1,0
1,0

Add to Front Test 
0,1
0,0
0,0
1,0
0,1

Add to Front Test 
1,0
1,0
1,1
1,0
0,1

Add to Front Test 
0,1
1,0
0,1
1,0
0,1

Add to Front Test 
1,0
1,1
0,1
1,0
1,1

Add to Front Test 
1,0
0,1
0,0
0,1
1,0

Add to Front Test 
1,1
0,1
0,1
1,0
0,1

Add to Front Test 
1,0
1,0
1,0
3,1
1,1

Add to Front Test 
1,1
0,1
1,1
1,1
1,0

Add to Front Test 
0,1
0,1
0,1
0,1
1,1

Add to Front Test 
0,1
0,1
0,1
1,0
0,1

Unsorted Test 

Unsorted Test 

Unsorted Test 
49,0
31,0
42,0
49,0
75,0

Unsorted Test 
42,0
21,0
35,0
43,0
81,0

Unsorted Test 
45,0
23,0
43,0
71,0
72,0

Unsorted Test 
7,0
10,0
14,0
83,0
40,0

Unsorted Test 
8,0
14,0
55,0
133,0
50,0

Unsorted Test 
9,0
15,0
16,0
36,0
41,0

Unsorted Test 
7,0
15,0
15,0
28,0
53,0

Unsorted Test 
8,0
10,0
16,0
27,0
34,0

Unsorted Test 
6,0
15,0
15,0
27,0
37,0

Unsorted Test 
8,0
11,0
17,0
33,0
38,0

Unsorted Test 
10,0
10,0
14,0
29,0
41,0

Unsorted Test 
7,0
12,0
18,0
30,0
42,0

Unsorted Test 
8,0
10,0
16,0
31,0
39,0

Unsorted Test 
7,0
11,0
17,0
28,0
38,0

Unsorted Test 
7,0
10,0
19,0
29,0
47,0

Unsorted Test 
7,0
10,0
17,0
29,0
43,0

Unsorted Test 
15,0
11,0
17,0
33,0
40,0

Unsorted Test 
8,0
12,0
21,0
29,0
36,0

Unsorted Test 
9,0
11,0
21,0
50,0
56,0

Unsorted Test 
8,0
11,0
19,0
44,0
55,0

