Add to Front Test 
0,0
0,0
1,0
0,1
0,1
2,0
7,1
14,1

Add to Front Test 
0,1
1,0
0,1
1,0
1,1

Unsorted Test 
0,5
2,15
10,31
5,214
5,1935

Sorted Test 
0,1
0,3
1,27
1,212
5,1820

Add to Front Test 
0,0
0,1
0,0
1,0
1,1

Unsorted Test 
0,1
1,3
6,31
5,219
5,1812

Sorted Test 
0,1
0,4
0,26
1,206
5,1810

Add to Front Test 
0,0
0,0
0,0
1,0
0,0

Unsorted Test 
0,0
0,3
0,27
1,222
6,1912

Sorted Test 
0,0
0,4
0,25
1,214
5,1812

Add to Front Test 
0,0
0,0
0,0
0,0
1,0

Unsorted Test 
0,2
2,5
7,34
5,211
7,1820

Sorted Test 
0,1
0,3
1,25
1,207
5,1841

Add to Front Test 
0,0
1,0
0,0
0,0
1,0

Unsorted Test 
0,0
1,6
5,36
9,221
5,1916

Sorted Test 
0,1
0,3
0,33
1,202
5,1803

Add to Front Test 
0,0
0,0
0,1
0,0
0,0

Unsorted Test 
0,1
2,4
6,30
5,216
5,1816

Sorted Test 
0,1
0,3
0,25
1,202
6,1818

Add to Front Test 
0,0
0,0
0,0
1,0
1,0

Unsorted Test 
1,0
1,6
6,30
7,215
5,1844

Sorted Test 
0,1
0,3
0,26
2,198
5,1805

Add to Front Test 
0,0
0,0
0,0
1,0
0,0

Unsorted Test 
0,1
0,4
5,29
5,207
6,1826

Sorted Test 
0,1
0,3
1,27
1,212
4,1817

Add to Front Test 
1,0
0,0
0,0
0,0
1,0

Unsorted Test 
0,1
1,4
3,30
6,215
5,1811

Sorted Test 
0,1
0,3
0,26
1,211
6,1853

Add to Front Test 
0,0
0,0
0,1
0,0
1,0

Unsorted Test 
1,1
1,3
4,29
4,209
5,1799

Sorted Test 
0,1
0,3
0,25
1,205
6,1812

Add to Front Test 
0,0
0,0
0,0
1,0
0,1

Unsorted Test 
0,1
1,4
3,28
4,212
5,1816

Sorted Test 
0,0
1,2
1,25
1,214
5,1821

Add to Front Test 
0,0
0,0
1,0
0,0
0,0

Unsorted Test 
1,1
2,3
4,30
5,208
5,1822

Sorted Test 
1,0
0,3
0,26
2,203
5,1803

Add to Front Test 
1,0
0,0
0,0
0,1
0,0
1,1
5,1

Unsorted Test 
1,0
1,4
3,30
7,212
6,1829
20,15308
78,144026

Sorted Test 
0,0
1,3
1,28
1,233
6,1956
22,16427
87,149660

Add to Front Test 
1,1
3,2
2,4
10,7
3,3
9,19
35,2
136,5

Unsorted Test 
10,8
1,12
6,120
24,732
90,6207
342,48337
1353,390669
5461,3124302

Sorted Test 
0,2
1,12
6,101
21,720
86,5993
342,48088
1352,395773
5459,3125274

